FID IID PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
MAYO_12403 MAYO_12403 -0.0101 0.0050 0.0319 0.0179 0.0456 0.0292 -0.0428 0.0841 -0.0262 0.0271
MAYO_12404 MAYO_12404 -0.0120 -0.0052 -0.0004 -0.0034 -0.0130 -0.0025 0.0078 0.0056 -0.0087 -0.0011
MAYO_12417 MAYO_12417 -0.0147 -0.0055 -0.0001 -0.0016 -0.0158 -0.0042 -0.0002 -0.0125 -0.0100 0.0227
MAYO_12510 MAYO_12510 -0.0014 -0.0014 0.0163 -0.0076 0.0194 0.1000 0.0067 0.0247 -0.0222 0.0172
MAYO_12523 MAYO_12523 -0.0064 -0.0090 -0.0037 -0.0033 0.0026 -0.0259 -0.0026 -0.0448 0.0119 0.0318
MAYO_12552 MAYO_12552 -0.0050 -0.0048 0.0006 -0.0130 0.0004 0.0367 -0.0201 0.0115 0.0155 -0.0035
MAYO_12658 MAYO_12658 -0.0100 -0.0093 0.0133 -0.0089 0.0391 -0.0121 0.0515 -0.0125 0.0127 0.0266
MAYO_12683 MAYO_12683 0.0019 0.0625 -0.0112 0.0227 -0.0037 -0.0310 0.0147 -0.0067 -0.1423 0.0134
MAYO_12701 MAYO_12701 -0.0001 -0.0080 0.0010 0.0028 -0.0040 0.0111 -0.0361 -0.0449 -0.0089 -0.0126
MAYO_12709 MAYO_12709 0.0048 0.0130 0.0182 -0.0146 0.0146 0.1025 -0.0093 0.0159 0.0035 0.0067
MAYO_12761 MAYO_12761 0.0046 -0.0035 0.0005 -0.0019 0.0069 0.0345 -0.0022 -0.0006 -0.0236 0.0146
MAYO_12804 MAYO_12804 0.0079 0.0080 0.0239 -0.0188 0.0240 0.1000 0.0310 0.0159 -0.0342 -0.0030
MAYO_12806 MAYO_12806 -0.0068 -0.0049 0.0079 -0.0207 0.0193 0.0523 -0.0205 -0.0324 0.0268 0.0611
MAYO_12965 MAYO_12965 -0.0093 -0.0084 -0.0004 0.0026 -0.0084 0.0019 -0.0049 -0.0064 0.0229 -0.0070
MAYO_13028 MAYO_13028 -0.0053 -0.0134 -0.0038 0.0034 0.0048 -0.0258 -0.0111 -0.0065 0.0105 0.0016
MAYO_13184 MAYO_13184 -0.0058 -0.0101 -0.0023 -0.0081 0.0090 0.0133 -0.0317 -0.0140 0.0027 0.0357
MAYO_13185 MAYO_13185 0.0063 -0.0034 -0.0036 0.0007 0.0269 0.0178 -0.0614 0.0204 -0.0286 -0.0462
MAYO_13187 MAYO_13187 -0.0053 -0.0005 -0.0024 0.0052 -0.0071 0.0300 -0.0256 0.0218 0.0162 -0.0001
MAYO_13193 MAYO_13193 -0.0111 -0.0072 0.0002 -0.0066 0.0008 0.0248 0.0158 -0.0190 0.0113 0.0311
MAYO_13201 MAYO_13201 -0.0056 0.0009 0.0170 -0.0042 0.0211 0.0521 -0.0133 0.0491 -0.0214 0.0215
MAYO_13218 MAYO_13218 -0.0020 -0.0028 -0.0008 -0.0069 -0.0017 0.0029 0.0009 0.0049 -0.0477 -0.0182
MAYO_13286 MAYO_13286 -0.0030 -0.0101 -0.0004 -0.0027 -0.0085 -0.0092 -0.0107 -0.0034 -0.0029 0.0214
MAYO_13351 MAYO_13351 -0.0161 -0.0064 -0.0093 -0.0135 -0.0116 -0.0017 0.0195 -0.0048 -0.0068 -0.0094
MAYO_13498 MAYO_13498 -0.0174 -0.0054 0.0027 0.0008 -0.0142 -0.0169 0.0008 0.0015 0.0204 0.0213
MAYO_13636 MAYO_13636 -0.0175 -0.0004 0.0114 0.0143 0.0008 0.0152 0.0202 0.0341 -0.0153 -0.0052
MAYO_13803 MAYO_13803 0.0947 -0.0066 -0.0291 0.0146 -0.0010 -0.0120 0.0057 0.0359 -0.0229 0.0149
MAYO_13870 MAYO_13870 -0.0039 0.0019 0.0217 -0.0194 0.0076 0.0881 -0.0138 -0.0129 -0.0141 0.0223
MAYO_13946 MAYO_13946 0.0040 0.1627 -0.0443 -0.0204 -0.0075 0.0336 0.0046 0.0264 0.0182 -0.0494
MAYO_14043 MAYO_14043 -0.0198 0.0359 -0.0099 -0.0063 -0.0258 0.0147 0.0064 0.0115 -0.0313 -0.0139
MAYO_14055 MAYO_14055 0.0027 0.1617 -0.0133 -0.0139 0.0174 0.1073 0.0216 -0.0181 -0.0010 0.0132
MAYO_14094 MAYO_14094 0.0001 -0.0065 0.0032 -0.0062 0.0146 -0.0218 -0.0046 -0.0108 -0.0048 -0.0055
MAYO_14180 MAYO_14180 -0.0120 0.0783 -0.0241 0.0074 -0.0009 -0.0521 -0.0159 0.0095 -0.0899 0.0300
MAYO_14200 MAYO_14200 -0.0031 -0.0049 0.0128 -0.0224 0.0190 0.0669 -0.0191 0.0082 -0.0265 0.0092
MAYO_14304 MAYO_14304 0.0028 0.0102 0.0382 -0.0041 0.0326 0.1516 -0.0236 0.0658 -0.0787 0.0175
MAYO_14420 MAYO_14420 -0.0103 -0.0064 -0.0058 0.0088 -0.0155 0.0083 -0.0124 -0.0226 0.0045 0.0198
MAYO_14531 MAYO_14531 -0.0131 -0.0058 0.0076 0.0055 -0.0055 -0.0120 0.0177 0.0276 -0.0456 0.0065
MAYO_14664 MAYO_14664 0.0036 0.2212 -0.0120 -0.0180 0.0680 -0.0497 -0.0477 0.0297 0.0868 -0.0429
MAYO_14685 MAYO_14685 -0.0086 -0.0040 -0.0018 0.0058 -0.0048 -0.0011 0.0090 -0.0029 0.0050 -0.0005
MAYO_14795 MAYO_14795 -0.0098 0.0105 0.0124 -0.0008 0.0163 0.1092 -0.0103 0.0220 -0.0035 -0.0217
MAYO_14923 MAYO_14923 -0.0060 0.1364 -0.0279 -0.0062 -0.0003 0.0066 -0.0164 -0.0513 0.0816 0.0406
MAYO_15027 MAYO_15027 -0.0123 -0.0127 0.0009 0.0014 -0.0015 0.0024 0.0027 -0.0204 0.0097 0.0333
MAYO_15029 MAYO_15029 -0.0102 0.0922 -0.0302 0.0039 0.0000 -0.0434 0.0009 -0.0373 -0.0173 0.0009
MAYO_15309 MAYO_15309 -0.0067 -0.0086 -0.0056 0.0086 -0.0094 0.0049 -0.0107 -0.0004 -0.0016 0.0086
