FID IID PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
MAYO_34527 MAYO_34527 -0.0175 -0.0010 0.0293 0.0191 0.0370 -0.0012 0.0237 0.0961 -0.0760 0.0571
MAYO_34568 MAYO_34568 0.0114 0.1516 0.0068 0.0276 -0.0234 0.0054 0.0165 -0.0062 0.0602 -0.0321
MAYO_3530 MAYO_3530 -0.0097 -0.0132 -0.0100 -0.0046 -0.0059 -0.0106 0.0003 -0.0162 0.0226 0.0072
MAYO_3589 MAYO_3589 -0.0095 -0.0089 0.0028 -0.0081 0.0113 0.0479 -0.0429 -0.0229 0.0083 0.0154
MAYO_3617 MAYO_3617 -0.0014 -0.0020 0.0097 -0.0034 0.0082 0.0051 0.0199 0.0258 -0.0509 0.0303
MAYO_36391 MAYO_36391 -0.0124 -0.0086 -0.0015 -0.0006 0.0004 0.0003 -0.0082 -0.0042 0.0063 -0.0029
MAYO_36764 MAYO_36764 -0.0025 -0.0102 0.0211 -0.0069 0.0244 0.0421 -0.0235 -0.0051 0.0181 0.0227
MAYO_36872 MAYO_36872 0.0045 0.0551 -0.0245 0.0042 0.0067 -0.0483 -0.0112 -0.0344 -0.0303 0.0262
MAYO_37139 MAYO_37139 -0.0187 -0.0042 -0.0037 0.0071 0.0037 -0.0058 0.0021 0.0409 -0.0334 -0.0121
MAYO_37307 MAYO_37307 -0.0180 -0.0042 0.0032 -0.0094 -0.0120 -0.0147 0.0050 0.0251 0.0077 -0.0161
MAYO_37466 MAYO_37466 -0.0057 0.0055 0.0340 0.0046 0.0973 -0.0464 -0.1293 0.0498 0.0393 -0.0253
MAYO_37607 MAYO_37607 -0.0211 -0.0158 -0.0072 -0.0032 0.0001 -0.0091 0.0085 0.0314 0.0279 -0.0096
MAYO_37740 MAYO_37740 -0.0142 -0.0007 0.0223 0.0291 0.0100 -0.0022 0.0057 0.0350 0.0054 0.0397
MAYO_37854 MAYO_37854 -0.0077 -0.0135 -0.0037 0.0125 -0.0009 0.0089 -0.0012 0.0025 -0.0054 -0.0132
MAYO_37887 MAYO_37887 -0.0061 -0.0020 0.0272 0.0237 0.0008 0.0089 -0.0111 0.0327 -0.0492 -0.0250
MAYO_3789 MAYO_3789 -0.0180 -0.0063 0.0033 0.0193 -0.0137 -0.0116 0.0066 0.0463 -0.0032 -0.0135
MAYO_3808 MAYO_3808 -0.0160 -0.0127 0.0034 -0.0130 -0.0029 0.0032 -0.0065 0.0305 0.0119 -0.0328
MAYO_3823 MAYO_3823 -0.0088 -0.0011 -0.0051 0.0029 0.0015 0.0148 0.0191 0.0146 -0.0704 0.0138
MAYO_3831 MAYO_3831 -0.0148 0.0007 0.0023 -0.0036 0.0036 0.0112 -0.0199 -0.0179 -0.0019 0.0002
MAYO_38423 MAYO_38423 -0.0105 -0.0048 0.0103 -0.0029 -0.0005 0.0286 -0.0037 0.0264 -0.0435 -0.0171
MAYO_38508 MAYO_38508 -0.0062 -0.0024 0.0241 -0.0031 0.0285 0.0102 -0.0604 0.0190 -0.0289 0.0481
MAYO_3860 MAYO_3860 -0.0158 -0.0041 -0.0001 0.0132 -0.0089 -0.0297 0.0072 0.0400 0.0154 0.0530
MAYO_39092 MAYO_39092 -0.0061 0.0838 -0.0177 -0.0008 0.0713 -0.0838 -0.0549 -0.0658 -0.0284 0.0706
MAYO_39951 MAYO_39951 -0.0105 -0.0126 -0.0026 -0.0009 -0.0067 -0.0067 -0.0014 0.0224 -0.0230 -0.0305
MAYO_40683 MAYO_40683 -0.0196 -0.0060 0.0098 0.0067 -0.0027 -0.0298 0.0090 0.0379 -0.0559 0.0403
MAYO_40848 MAYO_40848 -0.0106 0.0019 0.0152 -0.0076 0.0155 0.0616 0.0181 0.0174 0.0580 -0.0223
MAYO_40908 MAYO_40908 -0.0028 0.0003 0.0069 -0.0036 0.0184 0.0226 0.0078 -0.0070 -0.0036 0.0184
MAYO_4121 MAYO_4121 0.0029 -0.0050 -0.0097 0.0041 -0.0078 0.0033 -0.0171 -0.0201 -0.0372 -0.0407
MAYO_4136 MAYO_4136 -0.0099 0.0470 -0.0066 0.0014 0.0013 -0.0097 -0.0107 0.0420 -0.0521 0.0140
MAYO_41388 MAYO_41388 -0.0113 -0.0054 0.0023 -0.0044 -0.0131 0.0038 0.0042 0.0139 -0.0621 0.0006
MAYO_41434 MAYO_41434 0.0038 -0.0058 0.0146 -0.0026 0.0054 -0.0148 0.0079 0.0277 -0.0960 0.0336
MAYO_41647 MAYO_41647 -0.0143 -0.0072 0.0184 0.0212 0.0784 -0.0361 0.0467 0.0310 0.0207 0.0141
MAYO_42674 MAYO_42674 -0.0064 -0.0040 -0.0023 -0.0035 0.0139 0.0014 -0.0263 0.0459 -0.0184 0.0004
MAYO_42715 MAYO_42715 -0.0071 -0.0082 0.0162 0.0117 0.0307 0.0197 -0.0691 -0.0059 0.0037 0.0171
MAYO_43007 MAYO_43007 -0.0003 -0.0025 0.0321 -0.0121 0.0053 0.0847 -0.0055 -0.0036 -0.0141 0.0170
MAYO_43218 MAYO_43218 -0.0089 -0.0059 -0.0003 0.0060 -0.0015 0.0043 -0.0088 0.0292 -0.0353 0.0208
MAYO_43399 MAYO_43399 -0.0053 -0.0077 0.0241 0.0149 0.0421 -0.0044 -0.0321 0.0493 -0.0703 0.0010
MAYO_4362 MAYO_4362 -0.0151 -0.0042 -0.0003 0.0136 0.0044 -0.0159 -0.0012 0.0473 -0.0047 0.0190
MAYO_4387 MAYO_4387 -0.0179 -0.0088 0.0000 0.0129 -0.0106 0.0097 0.0179 0.0193 0.0164 -0.0213
MAYO_4388 MAYO_4388 -0.0178 -0.0091 0.0043 -0.0003 -0.0092 -0.0034 0.0001 -0.0003 -0.0105 0.0055
MAYO_44219 MAYO_44219 -0.0012 -0.0085 -0.0017 -0.0056 0.0093 0.0333 -0.0169 -0.0317 0.0071 0.0337
MAYO_44408 MAYO_44408 -0.0167 -0.0036 0.0022 0.0009 -0.0069 -0.0211 0.0179 0.0409 0.0046 0.0180
MAYO_4502 MAYO_4502 -0.0143 -0.0019 0.0006 -0.0050 0.0000 0.0189 0.0097 0.0430 0.0223 0.0012
MAYO_45214 MAYO_45214 -0.0094 -0.0071 -0.0038 -0.0021 -0.0162 0.0035 0.0005 0.0017 -0.0001 0.0185
MAYO_46080 MAYO_46080 -0.0130 -0.0115 0.0096 0.0125 0.0046 -0.0282 -0.0091 0.0509 -0.0431 -0.0076
MAYO_46147 MAYO_46147 0.0014 0.1036 -0.0221 0.0116 0.0160 -0.0382 -0.0001 -0.0621 -0.0698 0.0471
MAYO_4667 MAYO_4667 -0.0155 -0.0075 -0.0007 -0.0012 0.0151 0.0077 -0.0133 -0.0512 0.0453 0.0637
MAYO_46765 MAYO_46765 -0.0156 -0.0060 0.0102 0.0282 -0.0095 0.0072 0.0062 0.0209 -0.0151 0.0474
MAYO_47808 MAYO_47808 0.0042 -0.0024 -0.0024 -0.0079 0.0292 0.0487 -0.0144 0.0224 -0.0318 -0.0125
MAYO_48253 MAYO_48253 -0.0102 0.0901 -0.0304 -0.0119 -0.0098 -0.0090 0.0012 -0.0242 -0.0211 0.0123
MAYO_48344 MAYO_48344 -0.0081 -0.0087 0.0001 0.0099 -0.0033 0.0224 -0.0225 0.0305 -0.0168 -0.0029
MAYO_4977 MAYO_4977 0.0005 -0.0056 0.0026 -0.0023 0.0622 -0.0236 0.0322 -0.0380 -0.0068 -0.0127
MAYO_50108 MAYO_50108 -0.0004 0.0010 0.0179 -0.0210 0.0346 0.0577 0.0320 -0.0184 0.0391 0.0107
MAYO_5011 MAYO_5011 -0.0171 -0.0072 0.0067 -0.0030 -0.0003 -0.0045 -0.0058 0.0178 0.0021 0.0023
MAYO_5012 MAYO_5012 0.0117 -0.0056 -0.0045 -0.0031 -0.0033 0.0087 -0.0207 -0.0171 -0.0210 -0.0060
MAYO_5031 MAYO_5031 0.0003 -0.0079 0.0087 0.0019 0.0279 -0.0323 -0.0120 0.0032 -0.0240 -0.0076
MAYO_51212 MAYO_51212 -0.0128 0.1061 -0.0328 0.0022 -0.0208 -0.0451 0.0132 0.0108 0.0204 0.0043
MAYO_5219 MAYO_5219 -0.0090 -0.0037 0.0162 -0.0003 0.0111 0.0182 -0.0356 0.0491 -0.0833 0.0175
MAYO_52834 MAYO_52834 -0.0183 -0.0081 0.0063 0.0096 -0.0076 -0.0086 0.0107 0.0233 0.0024 0.0201
MAYO_5306 MAYO_5306 -0.0130 -0.0051 0.0162 -0.0112 0.0322 0.0815 -0.0041 -0.0228 0.0001 0.0530
MAYO_53778 MAYO_53778 0.0107 -0.0038 -0.0076 0.0104 -0.0142 0.0039 -0.0038 -0.0499 -0.0316 0.0170
MAYO_5390 MAYO_5390 -0.0154 -0.0015 -0.0026 -0.0103 -0.0013 0.0379 -0.0087 -0.0066 0.0415 0.0323
MAYO_54497 MAYO_54497 -0.0085 -0.0055 0.0266 -0.0015 0.0557 0.0313 -0.0981 -0.0011 -0.0166 0.0345
MAYO_55151 MAYO_55151 -0.0039 0.1207 -0.0246 0.0101 0.0027 -0.0606 -0.0181 -0.0487 -0.0046 0.0499
MAYO_55441 MAYO_55441 -0.0127 -0.0012 0.0127 -0.0027 0.0172 0.0614 0.0037 0.0009 0.0239 0.0152
MAYO_58654 MAYO_58654 -0.0124 -0.0017 0.0039 -0.0030 -0.0057 0.0097 -0.0002 0.0248 -0.0202 0.0002
MAYO_5898 MAYO_5898 -0.0150 -0.0050 0.0167 -0.0036 0.0233 -0.0318 0.0003 0.0396 0.0255 0.0005
MAYO_60491 MAYO_60491 -0.0094 -0.0046 0.0122 0.0041 0.0174 0.0232 -0.0494 0.0384 -0.0552 -0.0045
MAYO_6275 MAYO_6275 0.0006 -0.0103 0.0311 -0.0063 0.0178 0.0347 -0.0075 0.0391 -0.0202 -0.0180
MAYO_64822 MAYO_64822 0.0028 0.1502 -0.0228 0.0130 0.0016 0.0404 0.0127 -0.0220 -0.0005 -0.0160
MAYO_6571 MAYO_6571 -0.0167 -0.0095 0.0047 0.0014 0.0010 -0.0096 -0.0180 0.0210 -0.0077 -0.0288
MAYO_6600 MAYO_6600 0.0044 0.1810 -0.0317 0.0056 0.0156 -0.0073 -0.0144 -0.0028 0.0589 -0.0400
MAYO_6631 MAYO_6631 -0.0062 -0.0107 0.0108 -0.0032 0.0272 0.0395 0.0098 -0.0164 0.0108 0.0178
MAYO_6632 MAYO_6632 -0.0162 -0.0052 0.0022 0.0053 -0.0006 0.0162 -0.0085 -0.0610 0.0171 0.0455
MAYO_66941 MAYO_66941 -0.0035 -0.0111 -0.0044 -0.0050 -0.0162 -0.0006 -0.0059 0.0148 -0.0293 -0.0103
MAYO_6804 MAYO_6804 -0.0102 0.0956 -0.0219 -0.0020 -0.0050 -0.0068 -0.0082 -0.0244 -0.0409 0.0448
MAYO_6882 MAYO_6882 -0.0212 -0.0067 -0.0018 0.0027 0.0087 0.0048 -0.0204 0.0401 0.0106 0.0023
MAYO_7019 MAYO_7019 -0.0188 -0.0074 0.0179 0.0092 0.0200 -0.0274 -0.0318 0.0420 0.0154 0.0331
MAYO_71812 MAYO_71812 -0.0115 0.0953 -0.0357 -0.0012 0.0019 -0.0555 -0.0045 -0.0386 -0.0467 0.0471
MAYO_7546 MAYO_7546 -0.0142 -0.0035 -0.0079 -0.0071 -0.0058 0.0330 0.0018 -0.0116 0.0442 0.0059
MAYO_7741 MAYO_7741 -0.0073 -0.0057 0.0037 -0.0124 -0.0071 -0.0036 -0.0133 -0.0192 0.0146 -0.0225
MAYO_7742 MAYO_7742 -0.0142 -0.0023 -0.0014 0.0136 -0.0276 -0.0273 0.0250 0.0170 -0.0227 0.0112
MAYO_7743 MAYO_7743 0.0021 -0.0070 -0.0113 -0.0009 -0.0012 0.0006 -0.0039 -0.0234 -0.0302 -0.0529
MAYO_7777 MAYO_7777 -0.0009 -0.0108 -0.0040 0.0036 -0.0059 0.0008 0.0057 -0.0139 0.0149 0.0071
MAYO_7784 MAYO_7784 -0.0167 -0.0033 0.0100 0.0114 0.0136 0.0295 0.0107 0.0224 0.0373 0.0008
MAYO_7791 MAYO_7791 -0.0027 0.1726 -0.0019 -0.0034 -0.0015 0.0769 0.0148 0.0755 0.1159 -0.0685
MAYO_7807 MAYO_7807 -0.0044 -0.0012 0.0150 -0.0058 0.0027 0.0123 -0.0036 0.0238 -0.0279 0.0016
MAYO_7949 MAYO_7949 -0.0032 -0.0104 0.0075 0.0003 0.0250 -0.0148 -0.0351 -0.0274 -0.0073 0.0243
MAYO_7950 MAYO_7950 0.0075 -0.0066 -0.0097 -0.0128 -0.0113 0.0068 -0.0032 -0.0154 -0.0054 -0.0044
MAYO_7961 MAYO_7961 0.0049 -0.0110 -0.0002 -0.0057 -0.0119 -0.0020 0.0131 -0.0174 -0.0366 0.0100
MAYO_8004 MAYO_8004 -0.0113 -0.0091 0.0019 -0.0028 0.0226 -0.0001 -0.0072 -0.0146 0.0096 0.0294
MAYO_8009 MAYO_8009 -0.0038 -0.0054 -0.0018 0.0106 0.0032 0.0074 -0.0129 -0.0180 0.0091 0.0217
MAYO_81384 MAYO_81384 -0.0020 -0.0104 0.0027 -0.0038 0.0025 -0.0013 -0.0270 -0.0052 -0.0671 -0.0253
MAYO_8138 MAYO_8138 -0.0174 -0.0021 0.0095 0.0149 -0.0148 -0.0002 0.0147 0.0108 0.0233 0.0156
MAYO_8170 MAYO_8170 0.0150 0.1615 0.0019 -0.0135 0.0215 0.1650 0.0117 0.0265 -0.0573 -0.0376
MAYO_8203 MAYO_8203 -0.0002 0.0147 0.0252 -0.0105 0.0474 0.2109 0.0238 0.0379 -0.0074 -0.0265
MAYO_8232 MAYO_8232 0.0009 0.0007 0.0094 -0.0045 0.0274 0.0536 -0.0183 0.0487 -0.0258 0.0294
MAYO_8359 MAYO_8359 0.0002 0.0026 0.0374 -0.0227 0.0689 0.1604 -0.0724 0.0141 -0.0242 0.0582
MAYO_8362 MAYO_8362 -0.0130 -0.0086 0.0087 0.0132 -0.0161 -0.0057 0.0036 0.0332 0.0103 0.0214
MAYO_8395 MAYO_8395 -0.0126 0.1629 -0.0322 0.0025 0.0057 -0.0525 0.0144 0.0175 0.0448 -0.0373
MAYO_8398 MAYO_8398 -0.0064 -0.0050 0.0128 -0.0072 0.0081 0.0724 0.0026 0.0207 0.0094 -0.0077
MAYO_8554 MAYO_8554 -0.0131 -0.0089 0.0074 -0.0017 0.0324 0.0334 -0.0656 -0.0321 -0.0060 0.0564
MAYO_8600 MAYO_8600 -0.0087 -0.0064 0.0007 0.0065 -0.0125 -0.0116 -0.0128 0.0069 -0.0019 -0.0309
MAYO_8648 MAYO_8648 -0.0081 -0.0165 0.0033 0.0080 -0.0067 -0.0004 0.0154 0.0009 -0.0509 0.0125
MAYO_86521 MAYO_86521 -0.0134 -0.0057 0.0081 0.0064 0.0032 -0.0087 0.0087 0.0473 -0.0170 -0.0179
MAYO_86798 MAYO_86798 -0.0111 -0.0064 0.0171 -0.0091 0.0161 0.0036 -0.0085 -0.0197 0.0111 0.0154
MAYO_8685 MAYO_8685 -0.0110 -0.0066 0.0092 -0.0114 0.0057 0.0162 -0.0004 0.0014 0.0058 0.0061
MAYO_8715 MAYO_8715 -0.0065 -0.0100 0.0002 -0.0030 0.0002 0.0236 0.0064 -0.0100 0.0028 -0.0070
MAYO_8817 MAYO_8817 0.0039 -0.0051 0.0072 0.0036 0.0258 -0.0039 -0.0436 -0.0108 -0.0321 -0.0321
MAYO_89238 MAYO_89238 -0.0069 -0.0052 0.0027 0.0036 0.0038 0.0000 -0.0033 0.0136 -0.0203 0.0083
MAYO_8983 MAYO_8983 0.0171 -0.0093 -0.0027 -0.0096 0.0019 0.0198 0.0032 -0.0204 -0.0422 -0.0347
MAYO_89967 MAYO_89967 -0.0011 0.0095 0.0055 -0.0045 0.0389 0.0288 0.0191 -0.0240 0.0133 -0.0055
MAYO_9007 MAYO_9007 0.0052 0.0820 -0.0208 0.0044 0.0080 -0.0461 -0.0209 -0.0422 -0.0389 0.0266
MAYO_9008 MAYO_9008 -0.0049 0.1468 -0.0117 0.0085 0.0097 0.0359 0.0007 0.0103 -0.0106 0.0082
MAYO_90225 MAYO_90225 -0.0130 0.0002 0.0098 0.0167 0.0057 -0.0035 0.0178 0.0358 -0.0507 -0.0055
MAYO_9042 MAYO_9042 -0.0031 -0.0066 -0.0024 -0.0102 -0.0043 0.0422 -0.0153 -0.0154 -0.0266 0.0251
MAYO_9066 MAYO_9066 -0.0158 -0.0029 0.0083 0.0044 -0.0035 0.0051 0.0199 0.0244 0.0179 -0.0184
MAYO_9185 MAYO_9185 0.0042 0.1701 -0.0335 0.0045 -0.0167 -0.0186 0.0164 -0.0168 0.0656 -0.0473
MAYO_9238 MAYO_9238 -0.0067 0.1323 -0.0384 0.0027 -0.0122 -0.0319 0.0146 -0.0181 -0.0447 0.0176
MAYO_9239 MAYO_9239 -0.0097 -0.0093 0.0174 0.0141 0.0323 -0.0308 -0.0433 0.0298 0.0139 -0.0330
MAYO_92854 MAYO_92854 0.0107 0.0247 0.0364 -0.0319 0.0474 0.2577 0.0340 0.0374 -0.0056 -0.0032
MAYO_9390 MAYO_9390 -0.0096 -0.0061 0.0049 0.0054 -0.0160 0.0145 0.0073 0.0024 -0.0020 -0.0102
MAYO_93983 MAYO_93983 -0.0045 0.0435 -0.0152 0.0000 0.0036 -0.0329 -0.0255 -0.0417 -0.0655 0.0482
MAYO_9456 MAYO_9456 -0.0091 0.0103 -0.0004 -0.0108 -0.0281 0.0010 0.0020 0.0042 0.0079 -0.0067
MAYO_9510 MAYO_9510 -0.0068 0.0511 -0.0162 0.0102 -0.0004 -0.0559 -0.0028 -0.0444 -0.0261 0.0372
MAYO_9516 MAYO_9516 0.0017 0.1821 -0.0174 -0.0056 -0.0109 0.0929 0.0222 0.0275 0.0391 -0.0556
MAYO_9543 MAYO_9543 0.0098 -0.0023 -0.0061 0.0029 0.0055 0.0104 -0.0109 0.0352 -0.0693 -0.0028
MAYO_9630 MAYO_9630 -0.0103 0.0010 0.0170 0.0101 0.0099 0.0076 -0.0068 0.0382 0.0162 -0.0209
MAYO_9633 MAYO_9633 0.0035 -0.0093 -0.0020 -0.0095 -0.0001 0.0227 -0.0098 -0.0015 -0.0150 -0.0303
MAYO_96340 MAYO_96340 -0.0060 -0.0078 0.0010 0.0089 -0.0056 -0.0040 -0.0014 0.0030 -0.0458 -0.0026
MAYO_9642 MAYO_9642 0.0301 -0.0009 0.0482 -0.0482 0.0152 0.0010 -0.0175 0.0230 -0.0192 0.0042
MAYO_9646 MAYO_9646 -0.0213 0.1254 -0.0287 0.0102 -0.0256 -0.0315 0.0116 0.0215 0.0004 0.0238
MAYO_9666 MAYO_9666 -0.0124 0.1035 -0.0204 0.0097 -0.0139 0.0083 -0.0278 -0.0765 -0.0123 0.0797
MAYO_9711 MAYO_9711 -0.0140 -0.0100 0.0049 0.0051 -0.0017 0.0127 -0.0055 -0.0257 0.0094 0.0302
MAYO_97190 MAYO_97190 -0.0013 0.0008 0.0013 -0.0053 0.0166 0.0404 0.0277 -0.0024 -0.0193 0.0135
MAYO_9724 MAYO_9724 0.0954 -0.0120 -0.0293 0.0062 0.0071 -0.0004 -0.0085 0.0228 0.0022 -0.0035
MAYO_9753 MAYO_9753 -0.0170 -0.0110 0.0013 0.0072 -0.0055 -0.0193 0.0157 0.0409 -0.0060 0.0088
MAYO_9788 MAYO_9788 -0.0156 -0.0079 -0.0035 0.0193 -0.0167 -0.0033 0.0107 0.0106 0.0029 -0.0025
MAYO_98674 MAYO_98674 -0.0106 0.0069 0.0158 -0.0011 0.0151 0.1185 -0.0052 0.0132 0.0035 -0.0021
MAYO_9920 MAYO_9920 -0.0159 0.0811 -0.0234 0.0104 -0.0146 -0.0346 0.0079 0.0092 -0.0022 -0.0056
MAYO_99226 MAYO_99226 0.1042 -0.0086 -0.0182 0.0029 0.0104 0.0539 0.0096 0.0182 0.0039 0.0009
MAYO_99506 MAYO_99506 -0.0150 0.1594 -0.0213 0.0046 -0.0110 -0.0373 0.0034 0.0336 0.0771 -0.0017
NBB_S00001 NBB_S00001 -0.0073 -0.0059 -0.0043 -0.0026 -0.0081 -0.0130 -0.0002 -0.0188 0.0170 -0.0078
NBB_S00022 NBB_S00022 -0.0055 -0.0094 -0.0041 0.0041 -0.0201 -0.0105 0.0019 0.0190 -0.0050 -0.0359
NBB_S00036 NBB_S00036 -0.0160 -0.0050 0.0065 -0.0072 -0.0147 -0.0172 0.0016 0.0066 0.0223 -0.0334
NBB_S00038 NBB_S00038 -0.0151 -0.0047 -0.0032 -0.0048 -0.0183 -0.0143 -0.0059 -0.0052 0.0230 -0.0252
NBB_S00039 NBB_S00039 -0.0136 -0.0083 -0.0031 -0.0028 -0.0276 0.0071 0.0029 0.0124 -0.0052 0.0013
NBB_S00040 NBB_S00040 0.0453 -0.0071 -0.0232 -0.0007 -0.0210 0.0074 -0.0111 0.0249 -0.0046 -0.0273
NBB_S00041 NBB_S00041 -0.0086 0.0008 -0.0047 -0.0098 -0.0250 -0.0134 0.0067 0.0162 0.0201 -0.0457
NBB_S00045 NBB_S00045 -0.0162 -0.0066 -0.0089 -0.0114 -0.0089 0.0025 0.0007 0.0147 0.0106 -0.0297
NBB_S00055 NBB_S00055 -0.0142 -0.0051 0.0039 -0.0014 -0.0216 -0.0166 0.0085 0.0390 0.0267 0.0073
NBB_S00057 NBB_S00057 -0.0137 -0.0083 -0.0034 0.0010 -0.0221 0.0008 0.0069 0.0013 -0.0097 -0.0014
NBB_S00059 NBB_S00059 -0.0079 -0.0159 0.0057 -0.0174 -0.0190 -0.0111 0.0049 0.0210 0.0303 -0.0164
NBB_S00067 NBB_S00067 -0.0069 -0.0088 -0.0081 -0.0015 -0.0214 -0.0144 -0.0035 0.0284 0.0065 0.0040
NBB_S00069 NBB_S00069 -0.0095 -0.0036 0.0023 -0.0003 -0.0129 -0.0183 0.0078 0.0082 0.0043 -0.0143
NBB_S00080 NBB_S00080 -0.0102 -0.0019 0.0034 -0.0099 -0.0201 0.0193 0.0073 0.0150 0.0168 -0.0308
NBB_S00081 NBB_S00081 -0.0178 0.0026 0.0039 -0.0004 -0.0238 -0.0000 0.0172 0.0246 -0.0067 -0.0313
NBB_S00085 NBB_S00085 -0.0131 -0.0039 -0.0080 0.0008 -0.0058 -0.0277 0.0207 0.0331 0.0129 -0.0064
NBB_S00086 NBB_S00086 -0.0209 -0.0034 0.0042 -0.0059 -0.0156 -0.0196 0.0066 0.0251 -0.0111 -0.0019
NBB_S00097 NBB_S00097 -0.0099 -0.0054 -0.0017 -0.0086 -0.0054 0.0065 0.0158 0.0211 0.0043 -0.0205
NBB_S00098 NBB_S00098 -0.0148 -0.0049 -0.0095 0.0071 -0.0249 -0.0152 0.0132 0.0154 0.0122 -0.0054
NBB_S00101 NBB_S00101 -0.0216 -0.0071 -0.0019 -0.0063 -0.0111 -0.0177 0.0115 0.0244 -0.0127 -0.0232
NBB_S00107 NBB_S00107 -0.0099 -0.0079 -0.0080 -0.0033 -0.0051 -0.0196 0.0158 -0.0081 -0.0112 -0.0468
NBB_S00115 NBB_S00115 -0.0084 -0.0093 0.0001 -0.0099 -0.0295 -0.0050 0.0220 0.0234 -0.0043 -0.0031
NBB_S00131 NBB_S00131 -0.0098 -0.0057 -0.0039 -0.0007 -0.0155 0.0064 0.0024 -0.0061 -0.0052 -0.0084
NBB_S00142 NBB_S00142 -0.0184 -0.0008 -0.0077 -0.0069 -0.0275 -0.0090 0.0168 0.0080 0.0135 -0.0272
NBB_S00185 NBB_S00185 -0.0011 -0.0079 -0.0013 -0.0135 -0.0180 0.0164 0.0052 -0.0156 0.0089 0.0073
NBB_S00222 NBB_S00222 -0.0132 -0.0049 0.0016 0.0030 -0.0257 -0.0122 0.0118 0.0180 0.0103 0.0002
NBB_S00282 NBB_S00282 -0.0163 -0.0078 -0.0038 -0.0092 -0.0187 0.0192 -0.0019 0.0222 0.0344 -0.0291
NBB_S00320 NBB_S00320 -0.0166 -0.0070 0.0048 0.0039 -0.0221 0.0102 0.0101 0.0253 0.0136 0.0076
NBB_S01017 NBB_S01017 -0.0084 -0.0064 -0.0104 -0.0123 -0.0137 0.0019 -0.0067 0.0049 0.0064 -0.0162
NBB_S01054 NBB_S01054 -0.0151 -0.0094 0.0014 0.0014 -0.0153 -0.0078 0.0015 0.0166 -0.0034 -0.0208
NBB_S01064 NBB_S01064 -0.0088 -0.0034 0.0086 -0.0049 -0.0090 -0.0109 0.0228 0.0034 0.0080 -0.0075
NBB_S01078 NBB_S01078 -0.0060 -0.0060 0.0028 0.0162 -0.0218 -0.0102 0.0011 0.0020 0.0066 -0.0382
NBB_S01079 NBB_S01079 -0.0172 -0.0051 -0.0045 0.0040 -0.0095 -0.0070 0.0146 0.0264 0.0277 -0.0443
NBB_S01118 NBB_S01118 -0.0070 -0.0104 -0.0088 -0.0034 -0.0202 -0.0304 -0.0096 0.0257 0.0076 -0.0136
NBB_S01158 NBB_S01158 -0.0094 -0.0043 0.0001 0.0037 -0.0225 -0.0131 -0.0014 0.0321 0.0246 -0.0266
NBB_S01174 NBB_S01174 -0.0129 -0.0046 0.0014 -0.0054 -0.0036 -0.0074 -0.0012 -0.0079 -0.0018 -0.0227
NBB_S90008 NBB_S90008 -0.0173 -0.0031 0.0045 -0.0028 -0.0214 -0.0113 0.0043 0.0238 0.0205 -0.0175
NBB_S90010 NBB_S90010 0.0012 -0.0078 0.0006 -0.0090 -0.0061 -0.0115 -0.0098 -0.0108 -0.0060 -0.0327
NBB_S90018 NBB_S90018 -0.0106 -0.0066 0.0011 0.0115 -0.0054 -0.0042 0.0025 0.0103 0.0010 -0.0311
NBB_S90039 NBB_S90039 -0.0088 -0.0059 0.0044 -0.0065 -0.0089 -0.0081 0.0112 -0.0087 -0.0126 -0.0191
NBB_S90043 NBB_S90043 -0.0167 -0.0116 0.0079 0.0044 -0.0187 -0.0023 -0.0024 0.0175 -0.0067 -0.0009
NBB_S90045 NBB_S90045 -0.0057 -0.0128 0.0035 -0.0050 0.0051 -0.0242 -0.0257 0.0251 0.0369 -0.0425
NBB_S90048 NBB_S90048 -0.0065 -0.0090 -0.0042 0.0005 -0.0153 -0.0366 -0.0080 0.0118 -0.0118 -0.0060
NBB_S90050 NBB_S90050 -0.0148 -0.0099 0.0016 0.0060 -0.0277 0.0032 0.0197 0.0211 0.0047 -0.0347
NBB_S90055 NBB_S90055 -0.0185 -0.0097 -0.0044 -0.0067 -0.0215 -0.0009 0.0136 0.0110 -0.0140 -0.0457
NBB_S90060 NBB_S90060 -0.0133 -0.0067 0.0040 -0.0023 -0.0261 -0.0036 0.0101 0.0259 -0.0109 -0.0077
NBB_S90064 NBB_S90064 -0.0111 -0.0090 -0.0036 -0.0041 -0.0176 -0.0132 0.0034 0.0234 -0.0106 -0.0122
NBB_S90066 NBB_S90066 0.0514 -0.0125 -0.0269 0.0001 -0.0174 -0.0003 0.0024 0.0330 0.0281 0.0059
NBB_S90068 NBB_S90068 -0.0143 -0.0064 0.0080 -0.0081 -0.0143 -0.0104 -0.0134 0.0057 0.0206 -0.0065
NBB_S90075 NBB_S90075 -0.0149 -0.0077 -0.0066 -0.0050 -0.0299 -0.0068 0.0156 0.0135 -0.0167 -0.0228
NBB_S90077 NBB_S90077 -0.0147 -0.0081 -0.0112 -0.0040 -0.0183 0.0026 0.0135 0.0044 -0.0149 -0.0439
NBB_S90080 NBB_S90080 -0.0080 -0.0068 -0.0034 -0.0179 -0.0122 -0.0043 0.0157 0.0099 0.0155 -0.0190
